Model,autonomy_coef,autonomy_se,autonomy_p,autonomy_ci_low,autonomy_ci_high,collective_coef,collective_se,collective_p,collective_ci_low,collective_ci_high,equity_coef,equity_se,equity_p,equity_ci_low,equity_ci_high,R2,Adj_R2,N
GPT-4.1,8.555555555555573,0.38077470467831015,3.1397769107846876e-78,7.80747553061517,9.303635580495976,-6.970370370370374,0.3807747046783102,6.550049561803605e-58,-7.718450395310778,-6.222290345429971,8.407407407407408,0.3807747046783099,2.5613030581839306e-76,7.659327382467005,9.155487432347812,0.9101783486057046,0.9050708429381858,540
Llama 3.1 70B Instruct,10.074074074074064,0.9777917090402951,9.772940435453935e-23,8.15306972301209,11.995078425136038,-1.7777777777777786,0.9777917090402951,0.06962795111072792,-3.6987821288397527,0.14322657328419575,9.364124909222943,0.9797070717163111,5.0935816246275016e-20,7.43935756855851,11.288892249887375,0.5508386521499802,0.5252479270268946,539
Qwen3.7 Plus,-2.8740740740740556,0.7972997679891197,0.00034312374911320184,-4.440470221176769,-1.3076779269713423,-14.65185185185186,0.79729976798912,2.9790226044337403e-58,-16.218247998954574,-13.085455704749148,-0.9407407407407375,0.7972997679891194,0.2385866911463567,-2.5071368878434503,0.625655406361975,0.608498993724873,0.5862371717994246,540
Mistral Large,4.0740740740740895,0.43908043646173023,4.880662704830292e-19,3.211445071087577,4.936703077060602,-20.111111111111125,0.4390804364617304,7.436446927872575e-183,-20.973740114097637,-19.248482108124612,2.592592592592591,0.43908043646173,6.458637113780811e-09,1.729963589606079,3.4552215955791024,0.911718501266434,0.9066985729070743,540
Pooled,4.9574074074074215,0.4174361581182318,1.5334005659380844e-31,4.138781519808551,5.776033295006292,-10.87777777777775,0.417436158118228,3.843809193273818e-130,-11.696403665376613,-10.059151890178887,4.844380017064552,0.41763236783911367,3.2920284387451285e-30,4.025369346418528,5.663390687710575,0.7751553224198166,0.7717710187121186,2159
