model,frame,coef,se,t,p,ci_low,ci_high,r2,n
GPT-4.1,autonomy,3.0741,0.3994,7.6968,0.0,2.2894,3.8587,0.8535,540
GPT-4.1,collective,-8.0222,0.3994,-20.0858,0.0,-8.8069,-7.2376,0.8535,540
GPT-4.1,equity,5.3704,0.3994,13.4462,0.0,4.5857,6.155,0.8535,540
Llama 3.1 70B Instruct,autonomy,2.3333,0.6532,3.5719,0.0004,1.05,3.6167,0.7237,540
Llama 3.1 70B Instruct,collective,-16.1852,0.6532,-24.7767,0.0,-17.4686,-14.9018,0.7237,540
Llama 3.1 70B Instruct,equity,-0.1111,0.6532,-0.1701,0.865,-1.3945,1.1723,0.7237,540
Qwen3.6-72B Instruct,autonomy,1.8519,0.7728,2.3961,0.0169,0.3335,3.3702,0.707,540
Qwen3.6-72B Instruct,collective,-10.963,0.7728,-14.1851,0.0,-12.4813,-9.4446,0.707,540
Qwen3.6-72B Instruct,equity,12.8889,0.7728,16.6771,0.0,11.3705,14.4072,0.707,540
