dropped_profile,access_barriers_b,access_barriers_p,collective_responsibility_b,collective_responsibility_p,coercive_backlash_b,coercive_backlash_p
P01,0.07199128418161083,0.885492103005702,0.14729299931423268,0.8664762805375905,1.2797161862273951,0.5160903763589963
P02,0.15073113624731826,0.7616071800985911,0.20505467279684897,0.8168073210754384,1.2725243030031028,0.5028069818434802
P03,-0.042442065867788425,0.929925153328059,-0.061787459942251655,0.9441611605999207,1.1588008914191876,0.5365817553816129
P04,0.20623134829259038,0.663523849165218,-0.10787979036388284,0.9004960376183403,1.1279452446501024,0.5441996042681965
P05,0.3188378914919747,0.4734454837525194,-0.06919004464123812,0.9367135618543688,1.6978227715201093,0.3716969724232242
P06,0.154523302537535,0.7490806913989665,0.1436342214674673,0.8665631248480012,1.1002575057510136,0.5604602608495962
P07,0.18087156096100976,0.6974142381921737,0.28063071767538705,0.7406295050844719,1.2124641484523924,0.5192183126637117
P08,0.1137919013618327,0.8110672705723775,0.16111442833316847,0.8454870797371214,1.0939649376883522,0.554358699259816
P09,-0.09480730984996022,0.839612642916729,0.29335486770373054,0.7254171573211883,0.37082286853518553,0.8361123294978636
P10,0.08432493255362938,0.8618974234370861,0.15577779169708894,0.8571667585291993,1.3080096729019104,0.4881568892152174
P11,0.1848643478342713,0.7018404202696487,0.22733720729037765,0.795000578223566,1.2305431154260198,0.5049493776850169
P12,0.03886524682450565,0.9340856511560488,0.15320499024192746,0.8566427693249944,1.2999495660765858,0.4948275890078333
P13,0.05778944675750286,0.9044139230782418,0.28363341203561276,0.7428107303179547,1.1433734604425192,0.5304089331706052
P14,0.13380413068960662,0.7825608046054457,0.135046345404652,0.8752096359203468,1.2061119130854743,0.5065449842865346
P15,0.10578897345365013,0.8281767322289568,0.19655134709843125,0.8150902677654047,1.3014550570589023,0.5041290557759741
P16,0.21945371114443135,0.6420831696266951,-0.48074024555602923,0.4300817708306094,2.3325430593061807,0.10063362385780247
P17,0.13183953330797238,0.783707579122503,0.26268700636665976,0.7558140759704024,1.412951785640617,0.4552260869675676
P18,0.2743618328874149,0.5405366102991194,0.3517259426584052,0.665888132656987,1.2191432493887846,0.5003366832268052
P19,0.14312995010660812,0.7658768815087431,0.3170116111176233,0.7082778894044032,1.1442953028045437,0.5361159660879976
P20,0.13205298690471023,0.7861506092082485,0.10655072889991102,0.9002647954432619,1.0192572593546578,0.5849748657757449
P21,0.11294060713250009,0.8147842159441897,0.2550782900241346,0.7633452459712453,1.1187596546859817,0.5453730775491161
P22,0.10930285101284551,0.8224930820384799,0.11537351467662471,0.8919034985930704,1.20498165024528,0.5072107311065936
P23,0.09818115328433985,0.8367115298571428,0.22785419071133628,0.7954980070837608,1.3000737634828352,0.498452435296036
P24,0.10380358980332016,0.8278623514997424,0.08522266754406971,0.9204341245484046,1.1675962930063069,0.5340947444732093
P25,0.1295649004921351,0.7853591884239518,0.14807544565014052,0.8606356139416226,1.4571709941551072,0.44438339345608535
P26,0.03860733641522407,0.9344847770376761,0.15616810908077738,0.8527414672795166,0.918423102820366,0.61725224048032
P27,0.2815451511282463,0.5236505778436845,0.22701729539956284,0.7862146822600885,0.5319291527058655,0.7533055466412241
