contrast,b_two_way,p_two_way,b_pair_fe,se_pair_fe,p_pair_fe,lo_pair_fe,hi_pair_fe
autonomy,4.957407407407418,1.6732746349260293e-12,4.95740740740738,0.7154986364442648,4.250107579777472e-12,3.555055848989103,6.359758965825657
collective,-10.877777777777755,2.042223951466332e-38,-10.877777777777794,0.8551188330350488,4.5331758321197494e-37,-12.553779893028409,-9.20177566252718
equity,4.844380017064539,5.619093362128303e-12,4.856183684904994,0.7187413142028019,1.4135413238912378e-11,3.447476594866515,6.264890774943472
