dropped_profile,access_barriers_b,access_barriers_p,collective_responsibility_b,collective_responsibility_p,coercive_backlash_b,coercive_backlash_p
P01,1.1408869195652431,0.010739429597781498,0.1138207732666584,0.8750729548323265,1.743789882039611,0.1534807650872685
P02,1.1257475969950044,0.011979410375257321,0.03673796167232801,0.9593112267252454,1.7924371783120028,0.14727610934386334
P03,0.9304617449611813,0.03387803233114457,-0.0189162279654842,0.9787735228754333,1.436887900499669,0.24810869341786546
P04,1.0038470204507874,0.02286907193352116,0.06322563694838612,0.9256059825000932,2.124312465144384,0.05776010903696306
P05,1.1503862302697663,0.008515299419337666,-0.012505295672875949,0.9858244170181455,1.811984952115937,0.13231969647385355
P06,1.263007064261486,0.003322983953013719,0.08002765135000356,0.9078707422756578,1.4656439471750413,0.23805004553191988
P07,1.2264659394443798,0.004397397624550177,-0.03174172432303424,0.9627008496804074,1.2552808331419651,0.29975218276117144
P08,1.0565801000505495,0.016661047625068672,0.2051384074707161,0.7699920757254474,1.5549965835336022,0.1891041660671895
P09,0.975652635688822,0.025928468489355174,0.08858889405590475,0.8993301143510025,1.1003784319989849,0.34807466543237187
P10,1.0295206257365637,0.01854539767274663,0.22158341446111152,0.758491625706211,1.5643512777558428,0.195391636225411
P11,1.0945999458930902,0.01316430937151925,0.3284084549473507,0.6499608487619566,1.099969816968883,0.35094646140173835
P12,0.9608723579558026,0.029013898007497173,0.3539026834133605,0.6070397316402711,1.7938672278310621,0.14153216956370265
P13,0.9316107871381705,0.03094892608260317,0.11124146272233659,0.8759773792723853,1.3011052123287823,0.2618659250958201
P14,1.1016332123979415,0.013098664985041291,0.09608575563643651,0.8909050639067765,1.5803572307846494,0.1875702204591504
P15,0.8867650306841828,0.042376146001963495,0.028021019223156696,0.9681389050307095,1.3042352811894236,0.2846490714104738
P16,1.1193172068673332,0.011390345642917733,-0.26819240195145255,0.6745298915545446,2.1192011082252,0.05383091945988442
P17,0.9880242198558531,0.021256097272422135,0.12122082574910786,0.861684270203308,1.7848138206023219,0.1345148949842635
P18,1.1681452240332546,0.006002719085840542,-0.03680646255066433,0.957495749973331,2.106828272694654,0.07161350310830931
P19,1.1002611038657435,0.011602086312244245,0.13891337494227307,0.8441667949575743,1.5199921735467663,0.2035091067466157
P20,1.1365619979271286,0.01086549928870441,0.04840271946005892,0.9445731556289507,1.3797534256048305,0.25353490748734364
P21,1.1114260649817655,0.012090629095034305,0.3297424075341495,0.6411734771597182,1.6618573455562224,0.16202292201721435
P22,1.1615589252737994,0.009039517498681838,0.1038801588792796,0.8819320553904049,1.5456946815487875,0.19500803217958795
P23,1.103023661084916,0.012563205217030245,0.1135399963306219,0.8743412848938685,1.6000332046436165,0.18513923605386284
P24,1.0644541267124668,0.015960822428858844,0.05590861325308949,0.9364098111429227,1.444633996460008,0.235998805997084
P25,1.103852867847636,0.010466590411550637,0.2471704350755599,0.7221794334162738,1.6224426053678263,0.1736800131650046
P26,1.0772440905758618,0.013918123916497348,0.18657808557121336,0.7878335956175229,1.5552563788686105,0.18811385511219436
P27,1.1340791880819054,0.007149834551412367,0.20758488402725428,0.7657190909266778,1.7252040504616915,0.14518565134460848
